news,sentiment
159 people died in the disaster,0
he was not distressed by the death of a man he had always disliked,0
I am disturbed by the document I have just read,0
some doubt has been cast upon the authenticity of this account,0
the hassle of child care,0
oh heck I can't for the life of me remember,0
they were horrified by the very idea,0
the story tells of respectable Ben who turns out to be a cheat and a hypocrite,0
ill-mannered and unruly children,0
Elimination is the process of getting rid of something,0
an embarrassing muddle,0
the enemy shot down four helicopters,0
he money had been paid in error,0
500 companies sprang up to exploit this new technology,0
he failed in his attempt to secure election,0
my worst fault is impatience,0
drivers are threatening to quit their jobs in fear after a cabby's murder,0
plates with flaws in them were sold at the outlet story,0
it was foolish of you to enter into correspondence,0
he screamed some incoherent threat,0
the earth wire was left unconnected,0
the sum required was insignificant compared with military spending,0
a policy of involuntary repatriation,0
it can be very frustrating to find that the size you want isn't there,0
A glitch is a short-lived fault in a system.,0
Neither would ever question nor gossip about their bosses,0
feel fat gross—even my legs feel flabby,0
the police will soon discover who the guilty party is,0
they hacked into a bank's computer,0
She half-heartedly tried to twist around him to get away,0
Sixteen per cent of children experience serious maltreatment at the hands of their parents.,0
he team suddenly came good after years of mediocrity,0
their happiness made Anne feel even more miserable,0
she is seeking damages on allegations of misrepresentation,0
a warning to men harassing women at work,0
it's fine as long as no one is inflicting harm on anyone else,0
the hazards of smoking,0
his situation was obviously hopeless,0
they were horrified by the very idea,0
ou'll humiliate me in front of the whole school,0
he was told constantly that he was ignorant and stupid,0
many of the fish caught are immature,0
bullets cast from an impure lead,0
an inactive lifestyle,0
the inequality of the ground hindered their footing,0
he inhuman scale of the dinosaurs,0
his mouth curved into an ironic smile,0
the case was dismissed for lack of evidence,0
her father was killed in a car crash,0
sort out what could be sold off and junk the rest,0
the condition that some noob crys about because he connected to a server half way around the world,0
his horse went lame,0
it was a lame statement and there was no excusing his behavior,0
he action of misbehaving; bad behaviour.,0
he had denied all sexual misbehaviour.,0
social causes of crime and delinquency,0
he relayed this in such a manner as to imply grave delinquency on the host's part,0
her ankle was very painful,0
he killed himself with poison,0
the increasingly pugnacious demeanour of right-wing politicians,0
he was deviled by a new-found fear,0
he sounded regretful but pointed out that he had committed himself,0
his letter plunged her into abject misery,0
a bribery scandal involving one of his key supporters,0


The cable will extend from Chiyo Bhanjyang in Panchthar district to Arughat in Gorkha district. NTA Chairman Digambar Jha and NT Managing Director Buddhi Prasad Acharya signed the deal on behalf of their respective organizations.The cost of the project is not mentioned in the memorandum.  will now call for global tenders and select the company and award the contract to lay the optical fibre cable said Min Prasad Aryal spokesperson for the NTA. ,1
Jul 2 2016- Title contenders Germany will come face to face with their ultimate tournament nightmare when they take on Italy in their Euro 2016 quarter-final in Bordeaux on Saturday.The world champions have lost every single tournament knockout game to the Italians going back almost half a century but are confident they can end a streak that includes one World Cup final and two semi-finals and the Euro 2012 last four.After topping Group C with two wins and a draw they quickly disposed of Slovakia 3-0 in the round of 16 with an impressive performance in which their frontline burst into life after three below-par performances.,1
Jul 1 2016- The continuous rainfall since Friday morning has largely affected daily life in Kathmandu. The streets have been water-logged in various places due to the downpour.Kathmandu sees a substantial increase in Traffic jams when it rains.,0
Jul 2 2016- Cricket Association of Nepal (CAN) Chief Executive Officer (CEO) Bhawana Ghimire on Friday said she has tendered her resignation to the suspended ad-hoc committee of the cricket governing body.Ghimire informed about her resignation through her official twitter account on the day when the International Cricket Council (ICC) said it was soon sending a delegation to Nepal to address the ongoing deadlock in country cricket governing body. ,0
